ltr,tbl,dy,de,bm,tms,dfy,dfr,infl,ntis,ret
0.0057,0.0003,0.06913,1.26087,1.214366,0.0316,0.0291,0.0244,-0.007407,0.000704,-0.029526
-0.0017,0.0001,0.068478,1.248139,1.403877,0.0321,0.0323,0.0091,-0.007463,-0.002874,-0.142069
0.0032,0.0001,0.075675,1.234357,1.542147,0.0321,0.0361,0.0041,-0.007519,-0.003322,-0.052228
0.0131,0.0004,0.076336,1.219512,1.442084,0.0311,0.0383,0.0008,-0.007576,-0.005032,0.061569
0.0148,0.0007,0.071843,1.2,1.426929,0.0301,0.0357,0.0399,-0.015267,-0.006491,0.013938
-0.0258,0.0001,0.070605,1.180723,1.69099,0.0324,0.0389,-0.0265,-0.015504,-0.005818,-0.179558
0.0097,0.0134,0.085689,1.161677,1.476534,0.0187,0.0423,-0.005,-0.007874,-0.021884,0.038627
-0.0032,0.0045,0.082051,1.142857,1.119015,0.028,0.0434,-0.0063,0,-0.006369,0.414312
0.0303,0.0029,0.057091,1.12426,0.928385,0.0279,0.0311,0.0285,0,-0.003002,0.174816
0.005,0.0007,0.048755,1.105882,0.833503,0.0299,0.0261,0.014,0.007937,0.000761,0.137498
-0.0017,0.0019,0.042621,1.087719,0.901179,0.029,0.0226,0.0178,0.031496,0.002713,-0.084736
0.0044,0.0001,0.046231,1.069767,0.79875,0.0307,0.0247,0.0049,0.007634,0.002147,0.123272
0.0023,0.0004,0.041028,1.052023,0.867997,0.0304,0.0291,-0.0037,0,-0.000458,-0.118045
-0.0091,0.0009,0.045778,1.034483,0.927858,0.0306,0.0315,0.0131,0,0.003463,-0.090623
-0.0149,0.0022,0.049665,1.017143,0.833503,0.0305,0.0344,-0.0099,0,0.005923,0.108553
-0.0113,0.0029,0.044534,1,0.829026,0.0307,0.0325,0.037,0,0.006196,0.026694
0.0257,0.0072,0.043644,0.992346,0.762917,0.0249,0.0266,0,0,0.003558,0.115033
0.0081,0.0062,0.039543,0.985278,0.790644,0.0255,0.0207,0.0065,0.007576,0.005595,-0.03284
0.0197,0.0024,0.041125,0.977901,0.802512,0.0283,0.0213,-0.001,0,0.009606,0.005355
0.0126,0.0015,0.041237,0.970659,0.801075,0.0285,0.0194,-0.0022,0,0.007829,-0.02549
0.0131,0.0016,0.042467,0.963976,0.856383,0.0276,0.0204,-0.0041,0,0.007652,-0.078497
0.0067,0.0015,0.046306,0.956989,0.840731,0.0274,0.0213,0.0091,0.007519,0.005983,0.02408
0.004,0.0015,0.045443,0.950128,0.914253,0.0273,0.0224,0.0007,0,0.002908,-0.119846
-0.0118,0.0019,0.051463,0.943799,0.866896,0.028,0.0256,0.0165,0,0.019957,0.05865
-0.0146,0.0021,0.048907,0.937173,0.870364,0.0289,0.0261,0.0085,0.014925,0.019439,-0.000216
0.0182,0.0027,0.049264,0.930662,0.862254,0.0273,0.025,-0.008,-0.007353,0.023897,-0.032663
0.0037,0.0025,0.050988,0.92466,0.782009,0.0274,0.0251,0.0092,0,0.020711,0.086059
0.0112,0.0023,0.04717,0.918367,0.773741,0.027,0.0242,-0.0011,-0.007407,0.020813,-0.000681
0.0182,0.002,0.047368,0.789474,0.791622,0.0261,0.0221,0.0029,0.014925,0.020997,-0.042368
0.0092,0.0019,0.049451,0.692308,0.786286,0.0256,0.0226,0.0049,0.007353,0.014709,-0.03684
0.0041,0.0015,0.051487,0.616438,0.800754,0.0259,0.0253,0.0002,0,0.012046,-0.031454
0.0079,0.0015,0.052735,0.590309,0.737323,0.0254,0.0247,0.0033,0.007299,0.019094,0.096493
